Körperschaftsebenen,Besoldungsgruppe,Versorgungsempfänger Anzahl,Stichtag,Geschlecht,Art der Versorgung
Bundesbereich,"A 14 - B 11, R, W, C",33780,01.01.2021,männlich,Ruhegehalt
Bundesbereich,"A 14 - B 11, R, W, C",2070,01.01.2021,weiblich,Ruhegehalt
Bundesbereich,"A 14 - B 11, R, W, C",35850,01.01.2021,Insgesamt,Ruhegehalt
Bundesbereich,A 10 - A 13,83000,01.01.2021,männlich,Ruhegehalt
Bundesbereich,A 10 - A 13,9435,01.01.2021,weiblich,Ruhegehalt
Bundesbereich,A 10 - A 13,92440,01.01.2021,Insgesamt,Ruhegehalt
Bundesbereich,A 6 - A 9,214220,01.01.2021,männlich,Ruhegehalt
Bundesbereich,A 6 - A 9,56550,01.01.2021,weiblich,Ruhegehalt
Bundesbereich,A 6 - A 9,270770,01.01.2021,Insgesamt,Ruhegehalt
Bundesbereich,A 1 - A 5,30185,01.01.2021,männlich,Ruhegehalt
Bundesbereich,A 1 - A 5,9610,01.01.2021,weiblich,Ruhegehalt
