Versorgungszugänge der Empfänger von Ruhegehalt Anzahl,Jahr,Körperschaftsebenen,Besoldungsgruppe,Geschlecht,Grund für den Eintritt des Versorgungsfalls
0,2020,Bundesbereich,"A 14 - B 11, R, W, C",männlich,Dienstunfähigkeit: unter 45 Jahre
0,2020,Bundesbereich,"A 14 - B 11, R, W, C",weiblich,Dienstunfähigkeit: unter 45 Jahre
0,2020,Bundesbereich,"A 14 - B 11, R, W, C",Insgesamt,Dienstunfähigkeit: unter 45 Jahre
5,2020,Bundesbereich,"A 14 - B 11, R, W, C",männlich,Dienstunfähigkeit: 45 bis unter 50 Jahre
0,2020,Bundesbereich,"A 14 - B 11, R, W, C",weiblich,Dienstunfähigkeit: 45 bis unter 50 Jahre
5,2020,Bundesbereich,"A 14 - B 11, R, W, C",Insgesamt,Dienstunfähigkeit: 45 bis unter 50 Jahre
10,2020,Bundesbereich,"A 14 - B 11, R, W, C",männlich,Dienstunfähigkeit: 50 bis unter 55 Jahre
5,2020,Bundesbereich,"A 14 - B 11, R, W, C",weiblich,Dienstunfähigkeit: 50 bis unter 55 Jahre
15,2020,Bundesbereich,"A 14 - B 11, R, W, C",Insgesamt,Dienstunfähigkeit: 50 bis unter 55 Jahre
15,2020,Bundesbereich,"A 14 - B 11, R, W, C",männlich,Dienstunfähigkeit: 55 bis unter 60 Jahre
10,2020,Bundesbereich,"A 14 - B 11, R, W, C",weiblich,Dienstunfähigkeit: 55 bis unter 60 Jahre
