Stichmonat,Körperschaftsebenen,Durchschnittliche Versorgungsbezüge EUR,Geschlecht,Art der Versorgung
01/2021,Bundesbereich,2780,männlich,Ruhegehalt
01/2021,Bundesbeamte und -richter,3320,männlich,Ruhegehalt
01/2021,Berufssoldaten,3300,männlich,Ruhegehalt
01/2021,Bundeseisenbahnvermögen,2520,männlich,Ruhegehalt
01/2021,Postnachfolgeunternehmen,2430,männlich,Ruhegehalt
01/2021,Rechtlich selbständige Einrichtungen des Bundes,3380,männlich,Ruhegehalt
01/2021,Landesbereich,3660,männlich,Ruhegehalt
01/2021,Schuldienst des Landesbereichs,3890,männlich,Ruhegehalt
01/2021,Vollzugsdienst des Landesbereichs,2940,männlich,Ruhegehalt
01/2021,Übrige Landesbereiche,3980,männlich,Ruhegehalt
01/2021,Kommunaler Bereich,3520,männlich,Ruhegehalt
