Körperschaftsebenen,Besoldungsgruppe,Stichtag,Durchschn. Ruhegehaltssätze der Empf. v.Ruhegehalt Prozent
Bundesbereich,"A 14 - B 11, R, W, C",01.01.2021,"68,9"
Bundesbeamte und -richter,"A 14 - B 11, R, W, C",01.01.2021,"68,2"
Berufssoldaten,"A 14 - B 11, R, W, C",01.01.2021,"69,6"
Bundeseisenbahnvermögen,"A 14 - B 11, R, W, C",01.01.2021,"70,8"
Postnachfolgeunternehmen,"A 14 - B 11, R, W, C",01.01.2021,"67,6"
Rechtlich selbständige Einrichtungen des Bundes,"A 14 - B 11, R, W, C",01.01.2021,"68,5"
Landesbereich,"A 14 - B 11, R, W, C",01.01.2021,"68,2"
Kommunaler Bereich,"A 14 - B 11, R, W, C",01.01.2021,"65,7"
Sozialversicherung,"A 14 - B 11, R, W, C",01.01.2021,"67,9"
Insgesamt,"A 14 - B 11, R, W, C",01.01.2021,"68,0"
Bundesbereich,A 10 - A 13,01.01.2021,"67,9"
