Jahr,Luftemissionsart,Luftemissionen t,CPA 2008: Produktionsbereiche
1995,Luftemissionsart CO2,16801097,Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL
1995,Luftemissionsart CH4,1465896,Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL
1995,Luftemissionsart N2O,97980,Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL
1995,Luftemissionsart NOX,177694,Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL
1995,Luftemissionsart SO2,14471,Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL
1995,Luftemissionsart NMVOC,249524,Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL
1995,Luftemissionsart NH3,636611,Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL
1995,Luftemissionsart Feinst10,50767,Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL
1995,Luftemissionsart HFC,0,Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL
1995,Luftemissionsart PFC,0,Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL
1995,Luftemissionsart SF6,0,Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL
