Jahr,Wasserentnahme und -bezug,Wasser Mill. cbm,CPA 2008: Produktionsbereiche
1991,Entnahme von Wasser aus der Natur,1273,"Erzeugnisse d. Land- u. Forstwirtschaft, Fischerei"
1991,Bezug von Wasser aus Wasserwerken o. a. Betrieben,163,"Erzeugnisse d. Land- u. Forstwirtschaft, Fischerei"
1991,Entnahme von Wasser aus der Natur,1501,Kohle
1991,Bezug von Wasser aus Wasserwerken o. a. Betrieben,203,Kohle
1991,Entnahme von Wasser aus der Natur,22,Erdöl und Erdgas
1991,Bezug von Wasser aus Wasserwerken o. a. Betrieben,1,Erdöl und Erdgas
1991,Entnahme von Wasser aus der Natur,579,"Erze, Steine und Erden, sonstige Bergbauerz., DL"
1991,Bezug von Wasser aus Wasserwerken o. a. Betrieben,9,"Erze, Steine und Erden, sonstige Bergbauerz., DL"
1991,Entnahme von Wasser aus der Natur,368,"Nahrungs- u. Futtermittel, Getränke, Tabakerzeugn."
1991,Bezug von Wasser aus Wasserwerken o. a. Betrieben,242,"Nahrungs- u. Futtermittel, Getränke, Tabakerzeugn."
1991,Entnahme von Wasser aus der Natur,100,"Textilien, Bekleidung, Leder und Lederwaren"
