Jahr,Abwasser Mill. cbm,Abwassereinleitungsarten,CPA 2008: Produktionsbereiche
1991,0,Direkt eingeleitetes Abwasser,"Erzeugnisse d. Land- u. Forstwirtschaft, Fischerei"
1991,33,Indirekt eingeleitetes Abwasser,"Erzeugnisse d. Land- u. Forstwirtschaft, Fischerei"
1991,33,Insgesamt,"Erzeugnisse d. Land- u. Forstwirtschaft, Fischerei"
1991,1598,Direkt eingeleitetes Abwasser,Kohle
1991,77,Indirekt eingeleitetes Abwasser,Kohle
1991,1675,Insgesamt,Kohle
1991,22,Direkt eingeleitetes Abwasser,Erdöl und Erdgas
1991,1,Indirekt eingeleitetes Abwasser,Erdöl und Erdgas
1991,23,Insgesamt,Erdöl und Erdgas
1991,540,Direkt eingeleitetes Abwasser,"Erze, Steine und Erden, sonstige Bergbauerz., DL"
1991,4,Indirekt eingeleitetes Abwasser,"Erze, Steine und Erden, sonstige Bergbauerz., DL"
