Energieverbrauch TJ,Jahr,CPA 2008: Produktionsbereiche
194596,1995,Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL
7264,1995,Forstwirtschaftl. Erzeugnisse und Dienstleistungen
2882,1995,"Fische und Fischereierz., Aquakulturerz., DL"
33934,1995,Kohle
20304,1995,Erdöl und Erdgas
34618,1995,"Erze, Steine und Erden, sonstige Bergbauerz., DL"
337359,1995,"Nahrungs- u. Futtermittel, Getränke, Tabakerzeugn."
70343,1995,"Textilien, Bekleidung, Leder und Lederwaren"
67432,1995,"Holz,Holz- u.Korkwaren (oh.Möbel),Flecht- u.Korbw."
299336,1995,"Papier, Pappe und Waren daraus"
52794,1995,"DL d.Vervielf. v. besp.Ton-, Bild- u. Datenträgern"
