Jahr,Verwendung von Energie TJ,Energieträger,CPA 2008: Produktionsbereiche
1995,888,Steinkohlen und Steinkohlenprodukte,Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL
1995,1477,Braunkohlen und Braunkohlenprodukte,Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL
1995,4580,Ottokraftstoffe,Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL
1995,94156,Dieselkraftstoffe,Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL
1995,58503,"Heizöl, leicht",Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL
1995,766,Sonstige Mineralölprodukte,Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL
1995,13469,Gase,Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL
1995,1917,Erneuerbare Energien,Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL
1995,21485,Elektrischer Strom und andere Energieträger,Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL
1995,197241,Insgesamt,Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL
1995,3238,Ottokraftstoffe,Forstwirtschaftl. Erzeugnisse und Dienstleistungen
