Materialgrad und Rohstoffarten,Jahr,Einfuhr von Gütern 1000 t,Ausfuhr von Gütern 1000 t,Verwertete inländische Rohstoffentnahme 1000 t
Rohstoffe,2020,336575,110645,940848
Abiotische verwertete Rohstoffe,2020,294468,81810,714807
Energieträger,2020,232617,48375,114032
Steinkohle,2020,29665,589,0
Braunkohle,2020,272,678,107377
Erdöl,2020,84736,31,1907
"Erdgas, Grubengas und Erdölgas",2020,117943,47076,4277
Sonstige Energieträger,2020,1,0,471
Mineralische Rohstoffe,2020,61850,33435,600775
Erze,2020,39499,998,597
Eisenerze,2020,33560,890,597
