Siedlungsfläche qkm,CPA 2008: Produktionsbereiche u. private Haushalte,Jahr,Nutzungsarten
2894,"Erzeugnisse d. Land- u. Forstwirtschaft, Fischerei",2008,Gebäude- und Freifläche
3033,Produzierendes Gewerbe,2008,Gebäude- und Freifläche
640,Bauarbeiten,2008,Gebäude- und Freifläche
2393,Übriges Produzierendes Gewerbe,2008,Gebäude- und Freifläche
4564,Dienstleistungen,2008,Gebäude- und Freifläche
369,Großhandelsleistungen (oh.Handelsleistungen m.Kfz),2008,Gebäude- und Freifläche
883,Einzelhandelsleistungen (ohne Handelsleist.m.Kfz),2008,Gebäude- und Freifläche
378,"Kunst-, Unterhaltungs- u.Erholungsdienstleistungen",2008,Gebäude- und Freifläche
2933,Übrige Dienstleistungen,2008,Gebäude- und Freifläche
10490,Alle Produktionsbereiche,2008,Gebäude- und Freifläche
12682,Private Haushalte (Inlandsverbrauch),2008,Gebäude- und Freifläche
