Anteil der Ausgaben für den Umweltschutz am BIP Prozent,Jahr,Anteil d.Invest.f.d.Umweltschutz a.d.Gesamtinvest. Prozent,Laufende Ausgaben für den Umweltschutz Mill. EUR,Investitionen für den Umweltschutz Mill. EUR,Ausgaben für den Umweltschutz Mill. EUR
"1,9",1996,"3,2",22970,12920,35890
"1,8",1997,"2,8",23120,11280,34400
"1,7",1998,"2,4",23610,9850,33470
"1,7",1999,"2,4",23780,10330,34110
"1,6",2000,"2,2",23580,9490,33070
"1,6",2001,"2,1",24330,8780,33110
"1,6",2002,"2,2",24630,8760,33390
"1,6",2003,"2,2",25680,8310,34000
"1,6",2004,"2,4",25160,9280,34440
"1,5",2005,"2,2",25880,8300,34180
"1,5",2006,"2,1",26210,8650,34860
