Jahr,Wirtschaftsbereiche,Laufende Ausgaben für den Umweltschutz Mill. EUR,Investitionen für den Umweltschutz Mill. EUR,Ausgaben für den Umweltschutz Mill. EUR
1996,Produzierendes Gewerbe,6430,2560,9000
1996,Staat,7720,5100,12820
1996,Privatisierte öffentliche Unternehmen,8810,5260,14070
1997,Produzierendes Gewerbe,6070,1820,7900
1997,Staat,7410,4360,11770
1997,Privatisierte öffentliche Unternehmen,9640,5100,14740
1998,Produzierendes Gewerbe,6170,1650,7820
1998,Staat,6730,3840,10570
1998,Privatisierte öffentliche Unternehmen,10720,4360,15080
1999,Produzierendes Gewerbe,5700,1770,7470
1999,Staat,6740,3480,10220
