id,annotator,position,question,table_file,answer_coordinates,answer_text
56,0,0,Wie viele Frauen wurden in den Mitarbeiterkennzahlen (nach Köpfen) an den Berichtsstichtagen im Jahr 2021 in der Bank erfasst?,tables/hypo54.csv,"[(1, 6)]",['0']
23,0,0,Wie hoch ist die Gesamtanzahl der Vollzeitäquivalente (VZÄ) für männliche Mitarbeitende in Osteuropa?,tables/table24.csv,"[(1, 3)]",['0']
2,0,0,Wie hoch ist das Kreditrisiko von physischen Risikoarten?,tables/table3.csv,"[(1, 2)]",['mittel']
6,0,0,Wie hoch sind die direkten THG-Emissionen für Scope 1 für den Immobiliensektor?,tables/table7.csv,"[(0, 3)]",['212']
56,1,0,Wie viele Frauen arbeiteten im Bankensektor im Jahr 2022?,tables/hypo54.csv,"[(7, 4)]",['408']
7,0,0,Wie hoch war die Intensität der indirekten THG-Emissionen (kg CO2e je m2) im Nahrungsmittelsektor?,tables/table8.csv,"[(3, 4)]",['58.0']
7,1,0,Wie hoch ist die Intensität der indirekten THG-Emissionen im Finanzdienstleistungssektor?,tables/table8.csv,"[(2, 2)]",['1.207']
22,0,0,Wie viele weibliche Angestellte gibt es insgesamt auf Hierarchieebene 3?,tables/table23.csv,"[(2, 3)]",['80.64']
5,0,0, Wie hoch war die Stromintensität je konditionierter Fläche in Quadratmetern für den Finanzbereich?,tables/table6.csv,"[(1, 2)]",['177']
26,0,0,"Wie hoch war der Wert für die Alterskategorie größer als 30 und kleiner als 50 Jahre""?""",tables/table27.csv,"[(4, 1)]",['54.73']
20,0,0,Wieviel ist die gesamte Anzahl an vollzeitäquivalente?,tables/table21.csv,"[(2, 1)]",['232.65']
81,0,0,Welches Geschlecht arbeitet am häufigsten?,tables/volks77.csv,"[(2, 1)]",['M']
26,1,0,Wie viele VZÄ waren weiblich?,tables/table27.csv,"[(0, 1)]",['74.21']
24,0,0,Wie viele VZÄ waren 50 Jahre oder älter?,tables/table25.csv,"[(2, 1)]",['427.4']
32,0,0,Welches Geschlecht hatte gesamt 148.46 VZÄ?,tables/table33.csv,"[(1, 0)]",['mÃ¤nnlich']
29,0,0,Wie viele VZÄ waren in der Hirarchie-Ebene 3 weiblich?,tables/table30.csv,"[(1, 1)]",['22.54']
56,2,0,ungültig,tables/hypo54.csv,"[(2, 0)]",['MÃ¤nner']
54,0,0,Wie hoch ist der %-Anteil des Gesamtportfolios im Jahr 2023?,tables/hypo29.csv,"[(4, 1)]",['0.0736']
80,0,0,Wie hoch ist der ausstehende Beitrag der Kategorie D Energieversorgung?,tables/volks61.csv,"[(4, 1)]",['49']
20,1,0,ungültig,tables/table21.csv,"[(1, 1)]",['56.02']
21,0,0,Wie viele Mitarbeiter sind weiblich (in VZÄ),tables/table22.csv,"[(0, 1)]",['789.09']
32,1,0,Wie viel vollzeit Mitarbeiter gibt es in gesamt?,tables/table33.csv,"[(2, 1)]",['289.15']
54,1,0,Wie hoch war der Wert des Green Bonds im Jahr 2021 in Tausend Euro (TEUR)?,tables/hypo29.csv,"[(0, 3)]",['68.876']
81,1,0,Um welchen Wert änderten sich die VZA bei den angestellten Mitarbeitenden im Jahr 2023?,tables/volks77.csv,"[(6, 3)]",['1609']
22,1,0,Wie viele weibliche Vollzeitäquivalente gibt es insgesamt?,tables/table23.csv,"[(4, 1)]",['789.09']
24,1,0,Wie viele Vollzeitäquivalente gibt es in der Altersgruppe über 30 und unter 50 Jahren?,tables/table25.csv,"[(1, 1)]",['862.59']
58,0,0,Wie hoch ist der Anteil der männlichen Gesamtbelegschaft im Konzern im Jahr 2021?,tables/hypo57b.csv,"[(1, 5)]","['43,30 %']"
21,1,0,Wie viele befristet angestellte weibliche Mitarbeiter gibt es?,tables/table22.csv,"[(2, 1)]",['0.0']
78,0,0,Wie viel Druck und Kopierpapier wurde 2023 in kg im jahr 2023 verbraucht?,tables/volks60a.csv,"[(0, 2)]",['75083']
56,3,0,Lauf dem Berichtsstichtag hatten Banken im Jahr 2022 wie viele Mitarbeiter?,tables/hypo54.csv,"[(3, 4)]",['796']
80,1,0,"Wi hoch ist der ausstehende Betrag (in Mio EUR) des Industriezweigs Business Loans Listed and Unlisted Equity""?""",tables/volks61.csv,"[(0, 1)]",['12015']
8,0,0,In welchem Sektor betrug das Bruttosaldo 943 Mio. EUR?,tables/table9.csv,"[(3, 0)]",['D -  Energieversorgung']
31,0,0,In welche Alterskategorie fallen die meisten Studenten der FHV?,tables/table32.csv,"[(0, 0)]",['< 30 Jahre']
29,1,0,ungültig,tables/table30.csv,"[(0, 3)]",['40.52']
55,0,0,ungültig,tables/hypo30.csv,"[(3, 0)]",['Sonstiges']
2,1,0,ungültig,tables/table3.csv,"[(0, 2)]",['gering']
3,0,0,ungueltig,tables/table4.csv,"[(0, 1)]",['VerÃ¤nderung der Temperatur und deren VariabilitÃ¤t nach oben']
30,0,0,Wie schneidet Deutschland bei den gesamten VZA ab?,tables/table31.csv,"[(1, 2)]",['116.08']
28,0,0,Wie viele weibliche unbefristete Angestellte gibt es?,tables/table29.csv,"[(1, 1)]",['1201.98']
2,2,0,Nennen Sie eine Risikoart,tables/table3.csv,"[(2, 0)]",['Beteiligungsrisi-ko']
6,1,0,ungültig,tables/table7.csv,"[(2, 5)]",['ka']
